#,track_id,Artist.Name,album_name,Track.Name,Popularity,Length.,explicit,Danceability,Energy,key,Loudness..dB..,mode,Speechiness.,Acousticness..,Liveness,Valence.,tempo,time_signature,Genre,0
4667,5n1HBXOeeKzEfdlEMJ6Tmm,Roedelius;Arnold Kasar,Einfluss,Black White Felt,49,241773,FALSE,0.0643,0.0704,7,-24.653,1,0.039,0.654,0.0886,0.0674,65.582,4,ambient,0.267892085
93607,29hRNUCc8Ogu50tmW3GLM7,Tatiana and Sergey Nikitin,Brich-Mulla Vol.2,Letter,0,175704,FALSE,0.596,0.143,7,-17.614,0,0.106,0.953,0.113,0.526,108.06,4,romance,0.211141012
28647,4lHElVXnT9H9laiY2HCoJg,Produto Nacional,A Mão do Justo,Esperança,28,199093,FALSE,0.784,0.533,2,-8.553,1,0.0629,0.055,0.0535,0.749,79.93,4,dub,0.870094638
8509,3xMQOd1C3TXsjQ3pmzOmkC,The Black Keys,Turn Blue,Weight of Love,61,410186,FALSE,0.282,0.547,2,-8.621,1,0.0322,0.03,0.104,0.133,151.468,4,blues,0.710060016
80211,4xA7TokHI9HTapV4wO3W5I,Neha Kakkar;Rohanpreet Singh;Showkidd,Baarish Mein Tum,Baarish Mein Tum,65,227091,FALSE,0.454,0.664,5,-4.471,0,0.0597,0.7,0.199,0.523,78.052,4,pop-film,0.304895768
6682,7rXYrysPjh6AHwV2rb2lD5,Hypocrisy,Virus,Incised Before I've Ceased,19,268506,FALSE,0.455,0.978,1,-5.072,1,0.0895,1.38E-06,0.211,0.141,100.018,4,black-metal,0.998698769
85417,0bGIiqXgKcQ2zvGc5PVnXc,Árbol,Chapusong,Enes,39,194040,TRUE,0.684,0.737,9,-4.236,1,0.0468,0.0121,0.171,0.588,139.077,4,punk-rock,0.178367099
3573,0SX6ObZSFQz0NcR5zdU7At,FKA twigs,Hits à suivre 2022,killer,0,176876,FALSE,0.401,0.619,0,-7.035,0,0.21,0.168,0.272,0.757,78.763,4,alternative,0.038829922
46479,4RUP63BfZep5hIoEz4mBFZ,Scooter,The Big Mash Up (20 Years of Hardcore Expanded Edition) [Remastered],Sugary Dip - Remastered,20,206266,FALSE,0.494,0.832,9,-5.506,0,0.0384,0.00183,0.283,0.367,144.116,4,happy,0.972856579
36264,2Mt60ByiUEt1CEoMG6vdTo,Triomphe,Vapor,Vapor,58,126545,FALSE,0.664,0.779,5,-11.964,0,0.0426,0.136,0.112,0.211,109.999,4,french,0.98766214
