show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in
s7464,Movie,Wakefield,Robin Swicord,"Bryan Cranston, Jennifer Garner, Jason O'Mara, Beverly D'Angelo, Ian Anthony Dale, Pippa Bennett-Warner, Isaac Leyva, Victoria Bruno, Ellery Sprayberry, Tracey Walter",United States,2-Mar-19,2016,R,109 min,Dramas
s6071,Movie,The Aerial,Esteban Sapir,"Rafael Ferro, Sol Moreno, Jonathan Sandor, Alejandro Urdapilleta, Julieta Cardinali, Florencia Raggi, Valeria Bertuccelli, Raúl Hochman, Ricardo Merkin, Carlos Piñeyro",Argentina,1-Apr-18,2007,TV-MA,99 min,"Dramas, International Movies, Sci-Fi & Fantasy"
s7136,Movie,Tom Papa Live in New York City,Rob Zombie,Tom Papa,United States,31-Dec-18,2011,TV-14,57 min,Stand-Up Comedy
s5768,Movie,Spookley the Square Pumpkin,Bernie Denk,"Sonja Ball, Craig Francis, Rick Jones, Michel Perron, Holly Gauthier-Frankel, Norman Groulx, Terrence Scammell, Bruce Dinsmore, Jennifer Seguin",United States,1-Sep-19,2004,G,47 min,Children & Family Movies
s1375,Movie,Chronically Metropolitan,Xavier Manrique,"Shiloh Fernandez, Ashley Benson, Josh Peck, Addison Timlin, Chris Noth, Mary-Louise Parker",United States,1-Feb-20,2016,TV-MA,86 min,"Comedies, Dramas, Independent Movies"
s105,Movie,30 Minutes or Less,Ruben Fleischer,"Jesse Eisenberg, Danny McBride, Aziz Ansari, Nick Swardson, Dilshad Vadsaria, Michael Peña, Bianca Kajlich, Fred Ward",United States,1-Jan-21,2011,R,83 min,"Action & Adventure, Comedies"
s5208,Movie,Righteous Kill,Jon Avnet,"Robert De Niro, Al Pacino, 50 Cent, Carla Gugino, John Leguizamo, Donnie Wahlberg, Brian Dennehy, Trilby Glover",United States,1-Jun-19,2008,R,101 min,"Dramas, Thrillers"
s5723,Movie,Soorma,Shaad Ali,"Diljit Dosanjh, Tapsee Pannu, Angad Bedi, Kulbhushan Kharbanda, Satish Kaushik, Vijay Raaz, Seema Kaushal, Mahabir Bhullar, Alka Badola Kaushal, Jimmy Moses",India,13-Oct-18,2018,TV-14,131 min,"Dramas, International Movies, Sports Movies"
s1230,Movie,Casa de mi Padre,Matt Piedmont,"Will Ferrell, Gael García Bernal, Diego Luna, Genesis Rodriguez, Pedro Armendáriz Jr., Nick Offerman, Efren Ramirez, Adrian Martinez","United States, Mexico",14-Nov-12,2012,R,84 min,Comedies
s4237,Movie,MOTHER,Tatsushi Omori,"Masami Nagasawa, Sadao Abe, Daiken Okudaira",Japan,3-Nov-20,2020,TV-14,127 min,"Dramas, International Movies"
s6073,Movie,The After Party,Ian Edelman,"Kyle Harvey, Harrison Holzer, Teyana Taylor, Shelley Hennig, Wiz Khalifa, Blair Underwood, Jordan Rock, Amin Joseph, Andy Buckley, Jamie Choi",United States,24-Aug-18,2018,TV-MA,90 min,"Comedies, Music & Musicals"
s2875,Movie,Hurricane Bianca,Matt Kugelman,"Roy Haylock, Bianca Leigh, Denton Blane Everett, Willam Belli, D.J. ""Shangela"" Pierce, Justin ""Alyssa Edwards"" Johnson, Molly Ryman, Ted Ferguson, Rachel Dratch, Alan Cumming, Margaret Cho, RuPaul",United States,1-Jan-17,2016,TV-MA,85 min,"Comedies, Independent Movies, LGBTQ Movies"
s5675,Movie,Small Town Crime,"Ian Nelms, Eshom Nelms","John Hawkes, Anthony Anderson, Octavia Spencer, Robert Forster, Clifton Collins Jr., Jeremy Ratchford, James Lafferty, Michael Vartan, Daniel Sunjata, Don Harvey, Stefanie Scott, Caity Lotz, Dale Dickey",United States,19-May-18,2017,R,92 min,Thrillers
s7770,Movie,Zindagi Na Milegi Dobara,Zoya Akhtar,"Hrithik Roshan, Abhay Deol, Farhan Akhtar, Katrina Kaif, Kalki Koechlin, Deepti Naval, Naseeruddin Shah, Ariadna Cabrol",India,15-Dec-19,2011,TV-14,154 min,"Comedies, Dramas, International Movies"
s5169,Movie,Residue,Merawi Gerima,"Obinna Nwachukwu, Dennis Lindsey, Taline Stewart, Derron Scott, Jamal Graham, JaCari Dye, Julian Selman, Melody Tally, Ramon Thompson, Hasinatu Camara",United States,17-Sep-20,2020,TV-MA,90 min,"Dramas, Independent Movies"
s4749,Movie,Palm Trees in the Snow,Fernando González Molina,"Mario Casas, Adriana Ugarte, Macarena García, Alain Hernández, Laia Costa, Emilio Gutiérrez Caba, Berta Vázquez, Daniel Grao",Spain,1-May-16,2015,TV-MA,163 min,"Dramas, International Movies, Romantic Movies"
s493,Movie,An Hour and a Half,Wael Ehsan,"Eyad Nassar, Ahmed Bedir, Fathy Abdel Wahab, Sawsan Badr, Maged El Kedwany, Tarek Abdel Aziz, Karima Mokhtar, Yousra El Lozy, Somaya El Khashab, Mohamed Emam",Egypt,26-Apr-19,2012,TV-14,87 min,"Dramas, International Movies"
s5415,Movie,Saverio Raimondo: Il Satiro Parlante,Francesco Imperato,Saverio Raimondo,Italy,17-May-19,2019,TV-MA,53 min,Stand-Up Comedy
s2872,Movie,Hunterrr,Harshavardhan Kulkarni,"Gulshan Devaiah, Radhika Apte, Sai Tamhankar, Veera Saxena, Sagar Deshmukh",India,12-Oct-20,2015,TV-MA,140 min,"Comedies, International Movies, Romantic Movies"
s5932,Movie,Svaha: The Sixth Finger,Jang Jae-hyun,"Lee Jung-jae, Park Jung-min, Lee Jae-in, Yoo Ji-tae, Jung Jin-young, Lee Da-wit, Jin Seon-kyu, Ji Seung-hyeon, Min Tanaka",South Korea,30-May-19,2019,TV-MA,123 min,"International Movies, Thrillers"
s2644,Movie,Haseena Maan Jaayegi,David Dhawan,"Sanjay Dutt, Govinda, Karisma Kapoor, Pooja Batra, Kader Khan, Paresh Rawal, Satish Kaushik, Aruna Irani, Anupam Kher, Ashish Vidyarthi, Aashif Sheikh, Asrani, Razak Khan, Shakti Kapoor, Bindu, Mahavir Shah, Mohan Joshi, Anil Dhawan",India,1-Mar-18,1999,TV-PG,151 min,"Action & Adventure, Comedies, Dramas"
s6360,TV Show,The Flash,Glen Winter,"Grant Gustin, Candice Patton, Danielle Panabaker, Carlos Valdes, Tom Cavanagh, Jesse L. Martin, Neil Sandilands, Britne Oldford, Danielle Nicolet, Keiynan Lonsdale, Kim Engelbrecht",United States,20-May-20,2019,TV-14,6 Seasons,"Crime TV Shows, TV Action & Adventure, TV Sci-Fi & Fantasy"
